Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
510.0,9.0,9.0,0.012730555158073049
511.0,10.0,10.0,0.012706090418116966
512.0,9.0,9.0,0.01268425961982307
513.0,10.0,10.0,0.01266020967035421
514.0,10.0,10.0,0.012636375199323124
515.0,9.0,9.0,0.01261510681345614
516.0,12.0,12.0,0.012587015625332501
517.0,10.0,10.0,0.01256383694522089
518.0,10.0,10.0,0.012540865937303622
519.0,10.0,10.0,0.0125181007409165
520.0,11.0,11.0,0.012493294536895672
521.0,9.0,9.0,0.012473180423280753
522.0,8.0,8.0,0.01245543747549463
523.0,17.0,17.0,0.012418155218665095
524.0,10.0,10.0,0.01239648946383748
525.0,9.0,9.0,0.012377156304180941
526.0,10.0,10.0,0.012355857884097828
527.0,11.0,11.0,0.012332649959820842
528.0,10.0,10.0,0.0123117502997254
529.0,9.0,9.0,0.012293100754920358
530.0,10.0,10.0,0.012272555440720659
531.0,9.0,9.0,0.012254222091950812
532.0,10.0,10.0,0.012234025115845136
533.0,9.0,9.0,0.012216002602125343
534.0,9.0,9.0,0.012198125481131205
535.0,10.0,10.0,0.012178431109410597
536.0,10.0,10.0,0.01215891319180091
537.0,9.0,9.0,0.012141496627258682
538.0,9.0,9.0,0.012124220567078374
539.0,10.0,10.0,0.012105188355394501
540.0,10.0,10.0,0.012086326665118429
541.0,9.0,9.0,0.012069495676657566
542.0,10.0,10.0,0.012050953779263558
543.0,9.0,9.0,0.012034408153897364
544.0,10.0,10.0,0.012016180627417088
545.0,9.0,9.0,0.011999915526921355
546.0,10.0,10.0,0.011981997041313912
547.0,10.0,10.0,0.011964239098550475
548.0,10.0,10.0,0.011946640260227969
549.0,9.0,9.0,0.011930936161581706
550.0,9.0,9.0,0.011915358752349677
551.0,9.0,9.0,0.011899907010492473
552.0,10.0,10.0,0.011882884563311717
553.0,10.0,10.0,0.011866014630810058
554.0,9.0,9.0,0.011850960961965163
555.0,10.0,10.0,0.011834377052839778
556.0,12.0,12.0,0.01181467237744531
557.0,10.0,10.0,0.01179841360029209
558.0,10.0,10.0,0.011782300495623777
559.0,9.0,9.0,0.01176792217243155
560.0,11.0,11.0,0.011750506094754561
561.0,9.0,9.0,0.0117363842660045
562.0,16.0,16.0,0.011711559499860746
563.0,11.0,11.0,0.0116946986596817
564.0,9.0,9.0,0.011681027045325889
565.0,20.0,20.0,0.011651039258259497
566.0,10.0,10.0,0.011636246571874394
567.0,9.0,9.0,0.01162304650707592
568.0,18.0,18.0,0.011596964984395408
569.0,10.0,10.0,0.011582656783022258
570.0,9.0,9.0,0.011569889042237503
571.0,10.0,10.0,0.011555823431050454
572.0,11.0,11.0,0.011540496771229458
573.0,10.0,10.0,0.011526694503657647
574.0,10.0,10.0,0.011513015899175354
575.0,11.0,11.0,0.011498110943042405
576.0,8.0,8.0,0.011487363282261168
577.0,11.0,11.0,0.011472711034067383
578.0,9.0,9.0,0.01146083025679746
579.0,9.0,9.0,0.011449045325124719
580.0,10.0,10.0,0.011436062427870677
581.0,9.0,9.0,0.011424477305292953
582.0,10.0,10.0,0.011411714528190904
583.0,10.0,10.0,0.011399066100737498
584.0,17.0,17.0,0.011377823311128821
585.0,19.0,19.0,0.011354462833823138
586.0,10.0,10.0,0.011342327359865876
587.0,9.0,9.0,0.011331498424645743
588.0,9.0,9.0,0.01132075684951489
589.0,10.0,10.0,0.011308923368410117
590.0,10.0,10.0,0.01129719591081384
591.0,11.0,11.0,0.011284417031122585
592.0,10.0,10.0,0.01127290914102607
593.0,17.0,17.0,0.011253581861879271
594.0,11.0,11.0,0.011241232631001689
595.0,11.0,11.0,0.011229005054327876
596.0,9.0,9.0,0.011219090322261427
597.0,15.0,15.0,0.011202743194295917
598.0,11.0,11.0,0.01119089478307965
599.0,10.0,10.0,0.011180224816901906
600.0,9.0,9.0,0.011170703608834822
